read	contig	start	end	strand
read_00000501	seq_1060-0037-#1#1	4013	4213	+
read_00000502	seq_1060-0037-#1#1	124	324	-
read_00000503	seq_1060-0037-#1#1	7490	7690	+
read_00000504	seq_1060-0037-#1#1	7469	7669	-
read_00000505	seq_1060-0037-#1#1	9580	9780	+
read_00000506	seq_1060-0037-#1#1	6239	6439	-
read_00000507	seq_1060-0037-#1#1	6423	6623	+
read_00000508	seq_1060-0037-#1#1	3501	3701	+
read_00000509	seq_1060-0037-#1#1	3378	3578	+
read_00000510	seq_1060-0037-#1#1	8055	8255	-
read_00000511	seq_1060-0037-#1#1	2794	2994	-
read_00000512	seq_1060-0037-#1#1	3871	4071	+
read_00000513	seq_1060-0037-#1#1	5159	5359	-
read_00000514	seq_1060-0037-#1#1	7489	7689	+
read_00000515	seq_1060-0037-#1#1	9266	9466	-
read_00000516	seq_1060-0037-#1#1	7670	7870	+
read_00000517	seq_1060-0037-#1#1	3849	4049	+
read_00000518	seq_1060-0037-#1#1	4806	5006	+
read_00000519	seq_1060-0037-#1#1	648	848	+
read_00000520	seq_1060-0037-#1#1	2140	2340	+
read_00000521	seq_1060-0037-#1#1	5329	5529	+
read_00000522	seq_1060-0037-#1#1	6770	6970	-
read_00000523	seq_1060-0037-#1#1	3375	3575	-
read_00000524	seq_1060-0037-#1#1	1443	1643	+
read_00000525	seq_1060-0037-#1#1	6501	6701	+
read_00000526	seq_1060-0037-#1#1	8772	8972	+
read_00000527	seq_1060-0037-#1#1	6095	6295	-
read_00000528	seq_1060-0037-#1#1	3454	3654	-
read_00000529	seq_1060-0037-#1#1	5787	5987	+
read_00000530	seq_1060-0037-#1#1	5394	5594	+
read_00000531	seq_1060-0037-#1#1	4377	4577	-
read_00000532	seq_1060-0037-#1#1	3840	4040	-
read_00000533	seq_1060-0037-#1#1	8957	9157	-
read_00000534	seq_1060-0037-#1#1	6442	6642	+
read_00000535	seq_1060-0037-#1#1	4102	4302	-
read_00000536	seq_1060-0037-#1#1	7407	7607	-
read_00000537	seq_1060-0037-#1#1	6382	6582	+
read_00000538	seq_1060-0037-#1#1	5615	5815	+
read_00000539	seq_1060-0037-#1#1	8376	8576	+
read_00000540	seq_1060-0037-#1#1	5825	6025	+
read_00000541	seq_1060-0037-#1#1	1835	2035	+
read_00000542	seq_1060-0037-#1#1	3519	3719	+
read_00000543	seq_1060-0037-#1#1	5861	6061	+
read_00000544	seq_1060-0037-#1#1	2618	2818	+
read_00000545	seq_1060-0037-#1#1	6021	6221	+
read_00000546	seq_1060-0037-#1#1	4219	4419	-
read_00000547	seq_1060-0037-#1#1	1409	1609	-
read_00000548	seq_1060-0037-#1#1	1469	1669	+
read_00000549	seq_1060-0037-#1#1	9528	9728	+
read_00000550	seq_1060-0037-#1#1	9289	9489	+
read_00000551	seq_1060-0037-#1#1	7908	8108	-
read_00000552	seq_1060-0037-#1#1	9309	9509	+
read_00000553	seq_1060-0037-#1#1	3717	3917	-
read_00000554	seq_1060-0037-#1#1	3090	3290	+
read_00000555	seq_1060-0037-#1#1	3876	4076	-
read_00000556	seq_1060-0037-#1#1	5310	5510	+
read_00000557	seq_1060-0037-#1#1	6298	6498	+
read_00000558	seq_1060-0037-#1#1	8078	8278	+
read_00000559	seq_1060-0037-#1#1	8931	9131	-
read_00000560	seq_1060-0037-#1#1	6999	7199	+
read_00000561	seq_1060-0037-#1#1	2768	2968	+
read_00000562	seq_1060-0037-#1#1	5206	5406	-
read_00000563	seq_1060-0037-#1#1	7979	8179	+
read_00000564	seq_1060-0037-#1#1	7789	7989	-
read_00000565	seq_1060-0037-#1#1	6149	6349	-
read_00000566	seq_1060-0037-#1#1	2796	2996	+
read_00000567	seq_1060-0037-#1#1	8998	9198	+
read_00000568	seq_1060-0037-#1#1	1197	1397	+
read_00000569	seq_1060-0037-#1#1	7922	8122	+
read_00000570	seq_1060-0037-#1#1	3335	3535	+
read_00000571	seq_1060-0037-#1#1	1693	1893	+
read_00000572	seq_1060-0037-#1#1	6003	6203	+
read_00000573	seq_1060-0037-#1#1	4662	4862	+
read_00000574	seq_1060-0037-#1#1	4845	5045	+
read_00000575	seq_1060-0037-#1#1	3412	3612	-
read_00000576	seq_1060-0037-#1#1	5352	5552	+
read_00000577	seq_1060-0037-#1#1	2446	2646	+
read_00000578	seq_1060-0037-#1#1	1625	1825	-
read_00000579	seq_1060-0037-#1#1	7094	7294	+
read_00000580	seq_1060-0037-#1#1	4564	4764	+
read_00000581	seq_1060-0037-#1#1	2426	2626	+
read_00000582	seq_1060-0037-#1#1	4658	4858	-
read_00000583	seq_1060-0037-#1#1	9245	9445	-
read_00000584	seq_1060-0037-#1#1	3183	3383	-
read_00000585	seq_1060-0037-#1#1	7507	7707	+
read_00000586	seq_1060-0037-#1#1	4344	4544	+
read_00000587	seq_1060-0037-#1#1	5879	6079	-
read_00000588	seq_1060-0037-#1#1	3329	3529	+
read_00000589	seq_1060-0037-#1#1	2748	2948	+
read_00000590	seq_1060-0037-#1#1	460	660	+
read_00000591	seq_1060-0037-#1#1	2288	2488	-
read_00000592	seq_1060-0037-#1#1	52	252	+
read_00000593	seq_1060-0037-#1#1	6723	6923	-
read_00000594	seq_1060-0037-#1#1	9056	9256	+
read_00000595	seq_1060-0037-#1#1	6860	7060	+
read_00000596	seq_1060-0037-#1#1	54	254	-
read_00000597	seq_1060-0037-#1#1	8341	8541	+
read_00000598	seq_1060-0037-#1#1	1720	1920	+
read_00000599	seq_1060-0037-#1#1	2293	2493	+
read_00000600	seq_1060-0037-#1#1	7290	7490	+
read_00000601	seq_1060-0037-#1#1	907	1107	-
read_00000602	seq_1060-0037-#1#1	7045	7245	-
read_00000603	seq_1060-0037-#1#1	2393	2593	-
read_00000604	seq_1060-0037-#1#1	7851	8051	-
read_00000605	seq_1060-0037-#1#1	3216	3416	+
read_00000606	seq_1060-0037-#1#1	9370	9570	+
read_00000607	seq_1060-0037-#1#1	7907	8107	-
read_00000608	seq_1060-0037-#1#1	6071	6271	+
read_00000609	seq_1060-0037-#1#1	4434	4634	-
read_00000610	seq_1060-0037-#1#1	3556	3756	+
read_00000611	seq_1060-0037-#1#1	9588	9788	-
read_00000612	seq_1060-0037-#1#1	2876	3076	+
read_00000613	seq_1060-0037-#1#1	2663	2863	+
read_00000614	seq_1060-0037-#1#1	422	622	+
read_00000615	seq_1060-0037-#1#1	6077	6277	-
read_00000616	seq_1060-0037-#1#1	1912	2112	-
read_00000617	seq_1060-0037-#1#1	4035	4235	+
read_00000618	seq_1060-0037-#1#1	8189	8389	-
read_00000619	seq_1060-0037-#1#1	2340	2540	-
read_00000620	seq_1060-0037-#1#1	12	212	+
read_00000621	seq_1060-0037-#1#1	6471	6671	-
read_00000622	seq_1060-0037-#1#1	1368	1568	+
read_00000623	seq_1060-0037-#1#1	8982	9182	-
read_00000624	seq_1060-0037-#1#1	3659	3859	-
read_00000625	seq_1060-0037-#1#1	9424	9624	+
read_00000626	seq_1060-0037-#1#1	193	393	+
read_00000627	seq_1060-0037-#1#1	2911	3111	-
read_00000628	seq_1060-0037-#1#1	3387	3587	-
read_00000629	seq_1060-0037-#1#1	8919	9119	-
read_00000630	seq_1060-0037-#1#1	8143	8343	+
read_00000631	seq_1060-0037-#1#1	7919	8119	-
read_00000632	seq_1060-0037-#1#1	5446	5646	+
read_00000633	seq_1060-0037-#1#1	9385	9585	-
read_00000634	seq_1060-0037-#1#1	8420	8620	-
read_00000635	seq_1060-0037-#1#1	5564	5764	+
read_00000636	seq_1060-0037-#1#1	2992	3192	-
read_00000637	seq_1060-0037-#1#1	2197	2397	-
read_00000638	seq_1060-0037-#1#1	7765	7965	-
read_00000639	seq_1060-0037-#1#1	5985	6185	-
read_00000640	seq_1060-0037-#1#1	4443	4643	-
read_00000641	seq_1060-0037-#1#1	2240	2440	-
read_00000642	seq_1060-0037-#1#1	2628	2828	+
read_00000643	seq_1060-0037-#1#1	4653	4853	-
read_00000644	seq_1060-0037-#1#1	8052	8252	-
read_00000645	seq_1060-0037-#1#1	8956	9156	+
read_00000646	seq_1060-0037-#1#1	7782	7982	+
read_00000647	seq_1060-0037-#1#1	6517	6717	-
read_00000648	seq_1060-0037-#1#1	1496	1696	+
read_00000649	seq_1060-0037-#1#1	6113	6313	+
read_00000650	seq_1060-0037-#1#1	6164	6364	-
read_00000651	seq_1060-0037-#1#1	873	1073	-
read_00000652	seq_1060-0037-#1#1	1359	1559	-
read_00000653	seq_1060-0037-#1#1	4699	4899	-
read_00000654	seq_1060-0037-#1#1	2774	2974	-
read_00000655	seq_1060-0037-#1#1	5325	5525	-
read_00000656	seq_1060-0037-#1#1	4183	4383	-
read_00000657	seq_1060-0037-#1#1	9383	9583	+
read_00000658	seq_1060-0037-#1#1	6527	6727	-
read_00000659	seq_1060-0037-#1#1	1599	1799	-
read_00000660	seq_1060-0037-#1#1	3528	3728	-
read_00000661	seq_1060-0037-#1#1	2070	2270	-
read_00000662	seq_1060-0037-#1#1	8828	9028	+
read_00000663	seq_1060-0037-#1#1	4536	4736	-
read_00000664	seq_1060-0037-#1#1	3540	3740	-
read_00000665	seq_1060-0037-#1#1	2554	2754	-
read_00000666	seq_1060-0037-#1#1	2011	2211	+
read_00000667	seq_1060-0037-#1#1	904	1104	+
read_00000668	seq_1060-0037-#1#1	7787	7987	+
read_00000669	seq_1060-0037-#1#1	6563	6763	+
read_00000670	seq_1060-0037-#1#1	9250	9450	-
read_00000671	seq_1060-0037-#1#1	3227	3427	+
read_00000672	seq_1060-0037-#1#1	5105	5305	-
read_00000673	seq_1060-0037-#1#1	859	1059	-
read_00000674	seq_1060-0037-#1#1	9761	9961	+
read_00000675	seq_1060-0037-#1#1	9341	9541	-
read_00000676	seq_1060-0037-#1#1	12	212	+
read_00000677	seq_1060-0037-#1#1	7648	7848	+
read_00000678	seq_1060-0037-#1#1	8018	8218	+
read_00000679	seq_1060-0037-#1#1	413	613	-
read_00000680	seq_1060-0037-#1#1	1888	2088	+
read_00000681	seq_1060-0037-#1#1	2978	3178	+
read_00000682	seq_1060-0037-#1#1	8241	8441	+
read_00000683	seq_1060-0037-#1#1	6106	6306	-
read_00000684	seq_1060-0037-#1#1	724	924	-
read_00000685	seq_1060-0037-#1#1	4226	4426	+
read_00000686	seq_1060-0037-#1#1	4791	4991	+
read_00000687	seq_1060-0037-#1#1	7016	7216	-
read_00000688	seq_1060-0037-#1#1	4629	4829	+
read_00000689	seq_1060-0037-#1#1	2018	2218	-
read_00000690	seq_1060-0037-#1#1	9045	9245	-
read_00000691	seq_1060-0037-#1#1	7964	8164	-
read_00000692	seq_1060-0037-#1#1	7963	8163	+
read_00000693	seq_1060-0037-#1#1	4154	4354	+
read_00000694	seq_1060-0037-#1#1	2845	3045	-
read_00000695	seq_1060-0037-#1#1	3619	3819	+
read_00000696	seq_1060-0037-#1#1	1894	2094	-
read_00000697	seq_1060-0037-#1#1	8991	9191	-
read_00000698	seq_1060-0037-#1#1	793	993	+
read_00000699	seq_1060-0037-#1#1	1275	1475	-
read_00000700	seq_1060-0037-#1#1	3015	3215	+
read_00000701	seq_1060-0037-#1#1	1877	2077	+
read_00000702	seq_1060-0037-#1#1	454	654	+
read_00000703	seq_1060-0037-#1#1	6672	6872	+
read_00000704	seq_1060-0037-#1#1	1846	2046	-
read_00000705	seq_1060-0037-#1#1	4688	4888	+
read_00000706	seq_1060-0037-#1#1	9527	9727	-
read_00000707	seq_1060-0037-#1#1	8745	8945	-
read_00000708	seq_1060-0037-#1#1	5793	5993	+
read_00000709	seq_1060-0037-#1#1	5226	5426	+
read_00000710	seq_1060-0037-#1#1	1371	1571	+
read_00000711	seq_1060-0037-#1#1	1694	1894	+
read_00000712	seq_1060-0037-#1#1	6356	6556	+
read_00000713	seq_1060-0037-#1#1	5644	5844	-
read_00000714	seq_1060-0037-#1#1	4566	4766	+
read_00000715	seq_1060-0037-#1#1	6577	6777	-
read_00000716	seq_1060-0037-#1#1	6515	6715	+
read_00000717	seq_1060-0037-#1#1	5738	5938	-
read_00000718	seq_1060-0037-#1#1	8628	8828	-
read_00000719	seq_1060-0037-#1#1	3246	3446	-
read_00000720	seq_1060-0037-#1#1	216	416	-
read_00000721	seq_1060-0037-#1#1	3678	3878	-
read_00000722	seq_1060-0037-#1#1	3118	3318	-
read_00000723	seq_1060-0037-#1#1	8509	8709	+
read_00000724	seq_1060-0037-#1#1	1229	1429	-
read_00000725	seq_1060-0037-#1#1	2455	2655	+
read_00000726	seq_1060-0037-#1#1	8048	8248	-
read_00000727	seq_1060-0037-#1#1	2626	2826	+
read_00000728	seq_1060-0037-#1#1	8458	8658	-
read_00000729	seq_1060-0037-#1#1	2652	2852	-
read_00000730	seq_1060-0037-#1#1	658	858	-
read_00000731	seq_1060-0037-#1#1	6471	6671	-
read_00000732	seq_1060-0037-#1#1	3450	3650	-
read_00000733	seq_1060-0037-#1#1	4417	4617	+
read_00000734	seq_1060-0037-#1#1	7502	7702	-
read_00000735	seq_1060-0037-#1#1	6518	6718	-
read_00000736	seq_1060-0037-#1#1	6810	7010	-
read_00000737	seq_1060-0037-#1#1	5118	5318	-
read_00000738	seq_1060-0037-#1#1	4484	4684	+
read_00000739	seq_1060-0037-#1#1	575	775	+
read_00000740	seq_1060-0037-#1#1	7624	7824	-
read_00000741	seq_1060-0037-#1#1	7543	7743	+
read_00000742	seq_1060-0037-#1#1	2116	2316	-
read_00000743	seq_1060-0037-#1#1	4750	4950	-
read_00000744	seq_1060-0037-#1#1	7201	7401	-
read_00000745	seq_1060-0037-#1#1	2709	2909	+
read_00000746	seq_1060-0037-#1#1	9170	9370	-
read_00000747	seq_1060-0037-#1#1	3130	3330	+
read_00000748	seq_1060-0037-#1#1	1820	2020	-
read_00000749	seq_1060-0037-#1#1	7109	7309	+
read_00000750	seq_1060-0037-#1#1	3733	3933	+
read_00000751	seq_1060-0037-#1#1	2820	3020	-
read_00000752	seq_1060-0037-#1#1	4490	4690	-
read_00000753	seq_1060-0037-#1#1	9599	9799	-
read_00000754	seq_1060-0037-#1#1	4866	5066	+
read_00000755	seq_1060-0037-#1#1	2470	2670	-
read_00000756	seq_1060-0037-#1#1	2866	3066	+
read_00000757	seq_1060-0037-#1#1	5624	5824	-
read_00000758	seq_1060-0037-#1#1	560	760	+
read_00000759	seq_1060-0037-#1#1	4917	5117	-
read_00000760	seq_1060-0037-#1#1	8727	8927	-
read_00000761	seq_1060-0037-#1#1	9346	9546	-
read_00000762	seq_1060-0037-#1#1	2092	2292	-
read_00000763	seq_1060-0037-#1#1	8713	8913	+
read_00000764	seq_1060-0037-#1#1	153	353	-
read_00000765	seq_1060-0037-#1#1	1390	1590	-
read_00000766	seq_1060-0037-#1#1	8004	8204	-
read_00000767	seq_1060-0037-#1#1	8577	8777	+
read_00000768	seq_1060-0037-#1#1	6043	6243	+
read_00000769	seq_1060-0037-#1#1	151	351	-
read_00000770	seq_1060-0037-#1#1	5013	5213	+
read_00000771	seq_1060-0037-#1#1	6702	6902	+
read_00000772	seq_1060-0037-#1#1	2873	3073	+
read_00000773	seq_1060-0037-#1#1	1085	1285	+
read_00000774	seq_1060-0037-#1#1	5881	6081	+
read_00000775	seq_1060-0037-#1#1	5484	5684	+
read_00000776	seq_1060-0037-#1#1	4980	5180	-
read_00000777	seq_1060-0037-#1#1	7172	7372	+
read_00000778	seq_1060-0037-#1#1	1759	1959	+
read_00000779	seq_1060-0037-#1#1	9132	9332	+
read_00000780	seq_1060-0037-#1#1	7628	7828	-
read_00000781	seq_1060-0037-#1#1	7232	7432	+
read_00000782	seq_1060-0037-#1#1	5265	5465	+
read_00000783	seq_1060-0037-#1#1	226	426	+
read_00000784	seq_1060-0037-#1#1	163	363	+
read_00000785	seq_1060-0037-#1#1	5225	5425	+
read_00000786	seq_1060-0037-#1#1	5769	5969	+
read_00000787	seq_1060-0037-#1#1	5394	5594	+
read_00000788	seq_1060-0037-#1#1	178	378	-
read_00000789	seq_1060-0037-#1#1	1502	1702	+
read_00000790	seq_1060-0037-#1#1	7590	7790	+
read_00000791	seq_1060-0037-#1#1	1405	1605	-
read_00000792	seq_1060-0037-#1#1	148	348	-
read_00000793	seq_1060-0037-#1#1	8018	8218	-
read_00000794	seq_1060-0037-#1#1	482	682	+
read_00000795	seq_1060-0037-#1#1	5341	5541	+
read_00000796	seq_1060-0037-#1#1	1529	1729	+
read_00000797	seq_1060-0037-#1#1	3585	3785	+
read_00000798	seq_1060-0037-#1#1	7099	7299	-
read_00000799	seq_1060-0037-#1#1	7924	8124	-
read_00000800	seq_1060-0037-#1#1	5798	5998	-
read_00000801	seq_1060-0037-#1#1	5365	5565	-
read_00000802	seq_1060-0037-#1#1	8987	9187	+
read_00000803	seq_1060-0037-#1#1	4015	4215	+
read_00000804	seq_1060-0037-#1#1	679	879	-
read_00000805	seq_1060-0037-#1#1	8231	8431	+
read_00000806	seq_1060-0037-#1#1	9033	9233	+
read_00000807	seq_1060-0037-#1#1	7416	7616	-
read_00000808	seq_1060-0037-#1#1	6324	6524	+
read_00000809	seq_1060-0037-#1#1	2889	3089	-
read_00000810	seq_1060-0037-#1#1	3461	3661	+
read_00000811	seq_1060-0037-#1#1	922	1122	+
read_00000812	seq_1060-0037-#1#1	3672	3872	-
read_00000813	seq_1060-0037-#1#1	5326	5526	-
read_00000814	seq_1060-0037-#1#1	7089	7289	-
read_00000815	seq_1060-0037-#1#1	6765	6965	+
read_00000816	seq_1060-0037-#1#1	3293	3493	-
read_00000817	seq_1060-0037-#1#1	3082	3282	-
read_00000818	seq_1060-0037-#1#1	243	443	+
read_00000819	seq_1060-0037-#1#1	9251	9451	+
read_00000820	seq_1060-0037-#1#1	8758	8958	+
read_00000821	seq_1060-0037-#1#1	9448	9648	-
read_00000822	seq_1060-0037-#1#1	4707	4907	+
read_00000823	seq_1060-0037-#1#1	8283	8483	+
read_00000824	seq_1060-0037-#1#1	6218	6418	+
read_00000825	seq_1060-0037-#1#1	1950	2150	+
read_00000826	seq_1060-0037-#1#1	6221	6421	-
read_00000827	seq_1060-0037-#1#1	4418	4618	-
read_00000828	seq_1060-0037-#1#1	9462	9662	+
read_00000829	seq_1060-0037-#1#1	7735	7935	+
read_00000830	seq_1060-0037-#1#1	5490	5690	-
read_00000831	seq_1060-0037-#1#1	7081	7281	+
read_00000832	seq_1060-0037-#1#1	5741	5941	-
read_00000833	seq_1060-0037-#1#1	6255	6455	-
read_00000834	seq_1060-0037-#1#1	7638	7838	-
read_00000835	seq_1060-0037-#1#1	9622	9822	-
read_00000836	seq_1060-0037-#1#1	617	817	-
read_00000837	seq_1060-0037-#1#1	1698	1898	-
read_00000838	seq_1060-0037-#1#1	3226	3426	+
read_00000839	seq_1060-0037-#1#1	5802	6002	-
read_00000840	seq_1060-0037-#1#1	4190	4390	-
read_00000841	seq_1060-0037-#1#1	7591	7791	+
read_00000842	seq_1060-0037-#1#1	1971	2171	-
read_00000843	seq_1060-0037-#1#1	2606	2806	-
read_00000844	seq_1060-0037-#1#1	444	644	-
read_00000845	seq_1060-0037-#1#1	9253	9453	+
read_00000846	seq_1060-0037-#1#1	9821	10021	+
read_00000847	seq_1060-0037-#1#1	3229	3429	-
read_00000848	seq_1060-0037-#1#1	7966	8166	-
read_00000849	seq_1060-0037-#1#1	44	244	+
read_00000850	seq_1060-0037-#1#1	8041	8241	+
read_00000851	seq_1060-0037-#1#1	2313	2513	-
read_00000852	seq_1060-0037-#1#1	5455	5655	+
read_00000853	seq_1060-0037-#1#1	8752	8952	+
read_00000854	seq_1060-0037-#1#1	312	512	-
read_00000855	seq_1060-0037-#1#1	126	326	+
read_00000856	seq_1060-0037-#1#1	4528	4728	+
read_00000857	seq_1060-0037-#1#1	533	733	-
read_00000858	seq_1060-0037-#1#1	8087	8287	-
read_00000859	seq_1060-0037-#1#1	5154	5354	-
read_00000860	seq_1060-0037-#1#1	5930	6130	-
read_00000861	seq_1060-0037-#1#1	4469	4669	-
read_00000862	seq_1060-0037-#1#1	5983	6183	+
read_00000863	seq_1060-0037-#1#1	9147	9347	+
read_00000864	seq_1060-0037-#1#1	3923	4123	+
read_00000865	seq_1060-0037-#1#1	4115	4315	-
read_00000866	seq_1060-0037-#1#1	6393	6593	+
read_00000867	seq_1060-0037-#1#1	9205	9405	-
read_00000868	seq_1060-0037-#1#1	7945	8145	-
read_00000869	seq_1060-0037-#1#1	1329	1529	-
read_00000870	seq_1060-0037-#1#1	700	900	-
read_00000871	seq_1060-0037-#1#1	1378	1578	+
read_00000872	seq_1060-0037-#1#1	4535	4735	+
read_00000873	seq_1060-0037-#1#1	8684	8884	-
read_00000874	seq_1060-0037-#1#1	8565	8765	-
read_00000875	seq_1060-0037-#1#1	2452	2652	+
read_00000876	seq_1060-0037-#1#1	1984	2184	-
read_00000877	seq_1060-0037-#1#1	5751	5951	-
read_00000878	seq_1060-0037-#1#1	2649	2849	-
read_00000879	seq_1060-0037-#1#1	7282	7482	+
read_00000880	seq_1060-0037-#1#1	572	772	-
read_00000881	seq_1060-0037-#1#1	8170	8370	+
read_00000882	seq_1060-0037-#1#1	8227	8427	+
read_00000883	seq_1060-0037-#1#1	2055	2255	-
read_00000884	seq_1060-0037-#1#1	2688	2888	+
read_00000885	seq_1060-0037-#1#1	4188	4388	+
read_00000886	seq_1060-0037-#1#1	2161	2361	-
read_00000887	seq_1060-0037-#1#1	6348	6548	-
read_00000888	seq_1060-0037-#1#1	7206	7406	+
read_00000889	seq_1060-0037-#1#1	8430	8630	-
read_00000890	seq_1060-0037-#1#1	1474	1674	+
read_00000891	seq_1060-0037-#1#1	6313	6513	-
read_00000892	seq_1060-0037-#1#1	3755	3955	-
read_00000893	seq_1060-0037-#1#1	6853	7053	-
read_00000894	seq_1060-0037-#1#1	2585	2785	+
read_00000895	seq_1060-0037-#1#1	1436	1636	-
read_00000896	seq_1060-0037-#1#1	3718	3918	-
read_00000897	seq_1060-0037-#1#1	8209	8409	+
read_00000898	seq_1060-0037-#1#1	2078	2278	-
read_00000899	seq_1060-0037-#1#1	5434	5634	-
read_00000900	seq_1060-0037-#1#1	608	808	+
read_00000901	seq_1060-0037-#1#1	3351	3551	-
read_00000902	seq_1060-0037-#1#1	1711	1911	+
read_00000903	seq_1060-0037-#1#1	68	268	-
read_00000904	seq_1060-0037-#1#1	8308	8508	+
read_00000905	seq_1060-0037-#1#1	359	559	+
read_00000906	seq_1060-0037-#1#1	7825	8025	-
read_00000907	seq_1060-0037-#1#1	9019	9219	-
read_00000908	seq_1060-0037-#1#1	1535	1735	-
read_00000909	seq_1060-0037-#1#1	9072	9272	-
read_00000910	seq_1060-0037-#1#1	6698	6898	-
read_00000911	seq_1060-0037-#1#1	5461	5661	-
read_00000912	seq_1060-0037-#1#1	9595	9795	-
read_00000913	seq_1060-0037-#1#1	3536	3736	+
read_00000914	seq_1060-0037-#1#1	9356	9556	-
read_00000915	seq_1060-0037-#1#1	5440	5640	+
read_00000916	seq_1060-0037-#1#1	6942	7142	-
read_00000917	seq_1060-0037-#1#1	5703	5903	+
read_00000918	seq_1060-0037-#1#1	1839	2039	-
read_00000919	seq_1060-0037-#1#1	9638	9838	-
read_00000920	seq_1060-0037-#1#1	3654	3854	-
read_00000921	seq_1060-0037-#1#1	7431	7631	+
read_00000922	seq_1060-0037-#1#1	2008	2208	-
read_00000923	seq_1060-0037-#1#1	4262	4462	+
read_00000924	seq_1060-0037-#1#1	6669	6869	+
read_00000925	seq_1060-0037-#1#1	2879	3079	+
read_00000926	seq_1060-0037-#1#1	1695	1895	+
read_00000927	seq_1060-0037-#1#1	6492	6692	-
read_00000928	seq_1060-0037-#1#1	4	204	+
read_00000929	seq_1060-0037-#1#1	6442	6642	-
read_00000930	seq_1060-0037-#1#1	7128	7328	+
read_00000931	seq_1060-0037-#1#1	5464	5664	-
read_00000932	seq_1060-0037-#1#1	2906	3106	-
read_00000933	seq_1060-0037-#1#1	4207	4407	-
read_00000934	seq_1060-0037-#1#1	1185	1385	+
read_00000935	seq_1060-0037-#1#1	910	1110	+
read_00000936	seq_1060-0037-#1#1	8049	8249	-
read_00000937	seq_1060-0037-#1#1	9260	9460	+
read_00000938	seq_1060-0037-#1#1	6573	6773	+
read_00000939	seq_1060-0037-#1#1	9822	10022	+
read_00000940	seq_1060-0037-#1#1	519	719	+
read_00000941	seq_1060-0037-#1#1	8282	8482	-
read_00000942	seq_1060-0037-#1#1	4868	5068	+
read_00000943	seq_1060-0037-#1#1	9070	9270	+
read_00000944	seq_1060-0037-#1#1	1901	2101	-
read_00000945	seq_1060-0037-#1#1	4501	4701	-
read_00000946	seq_1060-0037-#1#1	1000	1200	-
read_00000947	seq_1060-0037-#1#1	5233	5433	+
read_00000948	seq_1060-0037-#1#1	284	484	+
read_00000949	seq_1060-0037-#1#1	5884	6084	+
read_00000950	seq_1060-0037-#1#1	8040	8240	-
read_00000951	seq_1060-0037-#1#1	2678	2878	-
read_00000952	seq_1060-0037-#1#1	8475	8675	+
read_00000953	seq_1060-0037-#1#1	4496	4696	+
read_00000954	seq_1060-0037-#1#1	8057	8257	+
read_00000955	seq_1060-0037-#1#1	7784	7984	+
read_00000956	seq_1060-0037-#1#1	6799	6999	-
read_00000957	seq_1060-0037-#1#1	7585	7785	-
read_00000958	seq_1060-0037-#1#1	2538	2738	+
read_00000959	seq_1060-0037-#1#1	4358	4558	-
read_00000960	seq_1060-0037-#1#1	8088	8288	-
read_00000961	seq_1060-0037-#1#1	8279	8479	-
read_00000962	seq_1060-0037-#1#1	1396	1596	-
read_00000963	seq_1060-0037-#1#1	7661	7861	+
read_00000964	seq_1060-0037-#1#1	8925	9125	+
read_00000965	seq_1060-0037-#1#1	3930	4130	-
read_00000966	seq_1060-0037-#1#1	9089	9289	-
read_00000967	seq_1060-0037-#1#1	5903	6103	+
read_00000968	seq_1060-0037-#1#1	3357	3557	-
read_00000969	seq_1060-0037-#1#1	1350	1550	-
read_00000970	seq_1060-0037-#1#1	8858	9058	+
read_00000971	seq_1060-0037-#1#1	7431	7631	-
read_00000972	seq_1060-0037-#1#1	3674	3874	+
read_00000973	seq_1060-0037-#1#1	8311	8511	-
read_00000974	seq_1060-0037-#1#1	6332	6532	+
read_00000975	seq_1060-0037-#1#1	7531	7731	+
read_00000976	seq_1060-0037-#1#1	84	284	+
read_00000977	seq_1060-0037-#1#1	2521	2721	-
read_00000978	seq_1060-0037-#1#1	1347	1547	-
read_00000979	seq_1060-0037-#1#1	6738	6938	-
read_00000980	seq_1060-0037-#1#1	3267	3467	-
read_00000981	seq_1060-0037-#1#1	8099	8299	-
read_00000982	seq_1060-0037-#1#1	3659	3859	+
read_00000983	seq_1060-0037-#1#1	3291	3491	+
read_00000984	seq_1060-0037-#1#1	8744	8944	+
read_00000985	seq_1060-0037-#1#1	6425	6625	+
read_00000986	seq_1060-0037-#1#1	2215	2415	+
read_00000987	seq_1060-0037-#1#1	4646	4846	-
read_00000988	seq_1060-0037-#1#1	2568	2768	+
read_00000989	seq_1060-0037-#1#1	2885	3085	-
read_00000990	seq_1060-0037-#1#1	4599	4799	-
read_00000991	seq_1060-0037-#1#1	1819	2019	+
read_00000992	seq_1060-0037-#1#1	3788	3988	+
read_00000993	seq_1060-0037-#1#1	8009	8209	-
read_00000994	seq_1060-0037-#1#1	8313	8513	+
read_00000995	seq_1060-0037-#1#1	3577	3777	+
read_00000996	seq_1060-0037-#1#1	8922	9122	+
read_00000997	seq_1060-0037-#1#1	2696	2896	+
read_00000998	seq_1060-0037-#1#1	11	211	-
read_00000999	seq_1060-0037-#1#1	5621	5821	-
read_00001000	seq_1060-0037-#1#1	9438	9638	+
read_00001001	seq_1060-0037-#1#1	8803	9003	+
read_00001002	seq_1060-0037-#1#1	576	776	+
